id,entity,child_sku_id,style_id,style_name,title,gender,size,category,material,color,cost_amount,currency_code,selling_price,mrp_price,gst_rate_pct,amazon_title,myntra_title,myntra_product_code,amazon_sku,myntra_sku,shopify_sku,nykaa_sku,flipkart_sku,unicommerce_sku,created_at,updated_at
57c4d3bb-6385-441e-a142-bd895014ae98,Fulton,IN100141,BL1001,Divine Depth,Velvet Black Divine Depth,F,38,Blouse,Velvet,Velvet Black,260.00,_,,,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
5917f6be-4148-4df1-bc32-9af933e39c55,Fulton,IN100115,BL1007,Charm Slope,Red Charm Slope - 40,F,40,Blouse,Rayon,Red,190.00,_,899.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
5983765b-6e4c-4420-a2aa-629991c7f79d,Fulton,IN100108,BL1001,Divine Depth,Gulabi Divine Depth - 34,F,34,Blouse,Rayon,Gulabi,190.00,_,899.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
5a4024f4-45d0-419d-a43b-698e1c137325,Fulton,IN100123,BL1002,Graceful Pleat,Red Graceful Pleat - 44,F,44,Blouse,Rayon,Red,190.00,_,899.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
5dcfd891-0296-44d7-87dc-665a0ecc00fe,Fulton,IN100094,BL1008,Horizon Halo,Black Horizon Halo - 40,F,40,Blouse,Rayon,Black,190.00,_,799.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
5fd5fb08-0ead-4e0b-b54f-d9b204946b6e,Fulton,IN100121,BL1007,Charm Slope,Red Charm Slope - 38,F,38,Blouse,Rayon,Red,190.00,_,899.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
6043ff55-3d5d-461c-98ca-e79014df8db9,Fulton,IN100002,BL1001,Divine Depth,Black Divine Depth - 36,F,36,Blouse,Rayon,Black,190.00,_,799.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
620be771-d271-4bbc-bf29-e2037b7c0b3a,Fulton,IN100148,BL1007,Charm Slope,Beige Charm Slope - 38,F,38,Blouse,Rayon,Beige,190.00,_,899.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
624e26a5-8f4a-48a8-8dd0-a3a3cc666afd,Fulton,IN100211,BL1003,Allure Affair,Green Allure Affair - 34,F,34,Blouse,Rayon,Green,190.00,_,899.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
6404fef1-e40d-43bd-8a7e-d2085f8e7d3a,Fulton,IN100037,BL1001,Divine Depth,Green Divine Depth - 40,F,40,Blouse,Rayon,Green,190.00,_,899.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
642a4c56-ed21-45a2-aedb-8cddd85ed151,Fulton,IN100244,BL1001,Divine Depth,Silk Pear Green Divine Depth,F,40,Blouse,Dupion Silk,Silk Pear Green,220.00,_,,,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
65a14caa-7625-46db-a185-db261bf93fdd,Fulton,IN100204,BL1003,Allure Affair,Green Allure Affair - 42,F,42,Blouse,Rayon,Green,190.00,_,899.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
